ngram,match_count,selectivity,bucket_lo,bucket_hi,bucket_span,rows_in_buckets,prune_rate,time_full_ms,time_fp_ms,speedup
fið,1,8.139980311015624e-08,154,154,1,49013,0.9960103514501619,1135.1782500000809,57.04045899983612,19.901281825297765
fo-,1,8.139980311015624e-08,155,155,1,45682,0.9962814941943219,1008.0943329999172,56.93516599990289,17.706004984716063
foy,34,2.767593305745312e-06,156,156,1,46712,0.9961976523971183,1025.0907500001176,199.1331250001167,5.147766098681557
frb,1,8.139980311015624e-08,156,156,1,46712,0.9961976523971183,1034.1074580001077,52.04845799994473,19.868167045433044
fti,5,4.0699901555078117e-07,157,157,1,48233,0.9960738432965879,1003.2926250000855,55.45437499995387,18.09221770150543
fuy,115,9.360977357667967e-06,157,157,1,48233,0.9960738432965879,1009.9279589999242,157.61412500000915,6.407598043638954
fuß,242,1.969875235265781e-05,157,157,1,48233,0.9960738432965879,1123.6955000001672,258.1244999998944,4.3533081904299165
fóm,1,8.139980311015624e-08,157,157,1,48233,0.9960738432965879,1154.6600829999534,57.61637499995231,20.040484723325775
fúk,1,8.139980311015624e-08,157,157,1,48233,0.9960738432965879,1136.8604169999799,58.66975000003549,19.37728415408779
fûh,1,8.139980311015624e-08,157,157,1,48233,0.9960738432965879,1129.202290999956,58.733291999942594,19.22593221917579
g--,1,8.139980311015624e-08,157,157,1,48233,0.9960738432965879,1007.1372499999143,57.505708999997296,17.51369155365012
gbo,4,3.2559921244062496e-07,158,158,1,48998,0.9960115724472086,1011.9990829998642,50.15979099994183,20.175504379614296
gbr,1,8.139980311015624e-08,158,158,1,48998,0.9960115724472086,1009.9354170001789,58.43654199998127,17.282600620011063
geü,1,8.139980311015624e-08,158,158,1,48998,0.9960115724472086,1133.7432919999628,50.688499999978376,22.36687398523228
ggé,1,8.139980311015624e-08,158,158,1,48998,0.9960115724472086,1165.0672089999716,50.66420899993318,22.995862996726313
gil,1205,9.808676274773827e-05,159,159,1,49045,0.9960077466564624,1019.1531250000025,101.83595800003786,10.007792385078988
giù,20,1.6279960622031247e-06,159,159,1,49045,0.9960077466564624,1120.8294999998998,57.98745900005997,19.328825910422125
gmu,1,8.139980311015624e-08,159,159,1,49045,0.9960077466564624,1031.582791999881,58.275874999935695,17.701712621235107
go?,2,1.6279960622031248e-07,159,159,1,49045,0.9960077466564624,1032.714665999947,58.071750000181055,17.78342595146052
gtc,2,1.6279960622031248e-07,161,161,1,49114,0.9960021300700478,1036.7529590000686,57.72179199993843,17.961205345135063
guá,3,2.441994093304687e-07,161,161,1,49114,0.9960021300700478,1160.770791999994,56.58375000007254,20.514207559564465
gwm,1,8.139980311015624e-08,161,161,1,49114,0.9960021300700478,1040.1072079998812,58.107291999931476,17.899770789544068
h n,6,4.883988186609374e-07,161,161,1,49114,0.9960021300700478,1001.1429579999458,58.164583999996466,17.21224307217613
h3a,1,8.139980311015624e-08,161,161,1,49114,0.9960021300700478,1040.8405000000585,53.57041599995682,19.429389908058532
hc:,1,8.139980311015624e-08,162,162,1,47344,0.9961462077215527,1044.5742919998793,49.7184579999157,21.009788598062524
hea,12915,0.0010512784571676678,162,163,2,95373,0.9922366565779751,1006.1630830000468,75.22970799982431,13.374544574895818
hed,434,3.532751454980781e-05,163,163,1,48029,0.9960904488564223,1004.5115000000351,145.64283400000022,6.897088393652334
hes,323,2.6292136404580463e-05,163,163,1,48029,0.9960904488564223,1000.7399580001675,181.67587499988258,5.508381110044547
hie,293,2.3850142311275777e-05,164,164,1,46772,0.9961927684089318,1000.2511659999982,135.72170800011918,7.369868687469803
hkg,1,8.139980311015624e-08,164,164,1,46772,0.9961927684089318,1035.609499999964,56.749791999891386,18.248692435770447
hrm,2,1.6279960622031248e-07,166,166,1,49203,0.995994885487571,1030.238332999943,57.75387500011675,17.838427863028418
htm,10,8.139980311015623e-07,166,166,1,49203,0.995994885487571,1037.3909579998326,58.75654100009342,17.65575271012266
hvi,81,6.593384051922655e-06,166,166,1,49203,0.995994885487571,1025.8595830000559,277.93883399999686,3.690954474537615
i-a,1,8.139980311015624e-08,167,167,1,48925,0.9960175146328356,1037.4107500001628,59.07670900000994,17.560401849737232
ifp,7,5.697986217710937e-07,168,168,1,47917,0.9960995656343706,1009.5651660001295,58.11945899995408,17.370518985748426
ift,18,1.4651964559828122e-06,168,168,1,47917,0.9960995656343706,1033.8921249999657,52.66637499994431,19.630971848756612
ihk,2,1.6279960622031248e-07,168,168,1,47917,0.9960995656343706,1031.472666999889,58.52058300001772,17.625809828305652
ijo,12,9.767976373218748e-07,168,168,1,47917,0.9960995656343706,1016.512541000111,57.70233300017935,17.616489458007727
ilé,1,8.139980311015624e-08,168,168,1,47917,0.9960995656343706,1134.1675420001138,58.53129100000842,19.377114747049585
ipd,7,5.697986217710937e-07,170,170,1,47083,0.9961674530701645,1043.1877500000155,57.54066699978466,18.129573471991897
irt,37,3.0117927150757807e-06,170,170,1,47083,0.9961674530701645,999.802291999913,481.82729199993446,2.0750221263930584
itt,157,1.2779769088294529e-05,171,171,1,46958,0.9961776280455533,1026.2362920000214,190.562208999836,5.385308542476565
ixl,1,8.139980311015624e-08,171,171,1,46958,0.9961776280455533,1043.414791000032,57.28166699987014,18.21551022602742
"j, ",4,3.2559921244062496e-07,171,171,1,46958,0.9961776280455533,1035.605915999895,57.05183399982161,18.15201797023971
j1 ,1,8.139980311015624e-08,171,171,1,46958,0.9961776280455533,1034.670042000016,58.57495800000834,17.664033869215388
je ,2364,0.00019242913455240935,172,172,1,46362,0.9962261423282069,1042.0508750000863,85.28229200010173,12.218842277349244
